h3_cell,lat,lng,visit_count,resolution,country
08a64821a0887fff,18.90551652221773,98.93800422042712,1,10,Thailand
08a64821a0897fff,18.906553314663046,98.93877771895346,1,10,Thailand
08a64821a090ffff,18.89998714619888,98.93819165277694,1,10,Thailand
08a64821a091ffff,18.901023972816933,98.93896513794856,1,10,Thailand
08a64821a0987fff,18.90309759477856,98.9405121208782,1,10,Thailand
08a64821a099ffff,18.90424950945852,98.93993399172065,1,10,Thailand
08a64821a09affff,18.902060789010523,98.9397386273157,1,10,Thailand
08a64821a0c47fff,18.90874198275926,98.9389730797206,1,10,Thailand
08a64821a0c57fff,18.90977874990302,98.93974658829302,1,10,Thailand
08a64821a0c6ffff,18.90770520518521,98.93819957534393,1,10,Thailand
08a64821a0cc7fff,18.911967375750784,98.93994195759808,1,10,Thailand
08a64821a0cd7fff,18.913004117585473,98.94071547621641,1,10,Thailand
08a64821a0ce7fff,18.910815506615396,98.94052010106097,1,10,Thailand
08a64821a0d47fff,18.906323080830965,98.94148099474084,1,10,Thailand
08a64821a0d57fff,18.907359850873494,98.94225450254328,1,10,Thailand
08a64821a0d6ffff,18.90528630035895,98.94070749113321,1,10,Thailand
08a64821a0d97fff,18.911391665470344,98.94670022037978,1,10,Thailand
08a64821a0db7fff,18.910239778280808,98.94727833147189,1,10,Thailand
08a64821a16a7fff,18.914842326272886,98.9061491729419,1,10,Thailand
08a64821a2017fff,18.933967264267928,98.9405440439845,2,10,Thailand
08a64821a2027fff,18.931778910127758,98.94034865681444,2,10,Thailand
08a64821a2037fff,18.932815523923388,98.94112222554924,2,10,Thailand
08a64821a2097fff,18.937192174946595,98.94151301427986,1,10,Thailand
08a64821a20a7fff,18.93500386315693,98.94131761857047,2,10,Thailand
08a64821a20b7fff,18.936040451594856,98.94209119735208,2,10,Thailand
08a64821a210ffff,18.93062715725192,98.94092683521615,1,10,Thailand
08a64821a2157fff,18.930742285883877,98.93957509227553,1,10,Thailand
08a64821a2167fff,18.928553889406782,98.93937971364461,2,10,Thailand
08a64821a2177fff,18.929590528552602,98.94015327233242,2,10,Thailand
08a64821a2457fff,18.940417017898806,98.9424820031616,1,10,Thailand
08a64821a2467fff,18.938228748473218,98.94228659891269,1,10,Thailand
08a64821a2477fff,18.939265311545917,98.94306018774091,1,10,Thailand
08a64821a24c7fff,18.942605259865697,98.94267741009887,1,10,Thailand
08a64821a24d7fff,18.943641793103495,98.9434510106297,1,10,Thailand
08a64821a24e7fff,18.941453566055532,98.9432555978411,1,10,Thailand
08a64821a2847fff,18.924061892669382,98.94034068034505,1,10,Thailand
08a64821a285ffff,18.925213683121125,98.93976251143235,3,10,Thailand
08a64821a2867fff,18.92291009414954,98.94091884443968,1,10,Thailand
08a64821a28cffff,18.927402119548418,98.9399578905384,2,10,Thailand
08a64821a294ffff,18.921758287562795,98.9414970037162,1,10,Thailand
08a64821a296ffff,18.920606472910368,98.94207515817452,1,10,Thailand
08a64821a2a17fff,18.926710779507218,98.93512913938157,1,10,Thailand
08a64821a2a1ffff,18.926825864957554,98.93377739875228,1,10,Thailand
08a64821a2a37fff,18.925559007979366,98.93570733252821,1,10,Thailand
08a64821a2aa7fff,18.927747451522915,98.9359026845911,1,10,Thailand
08a64821a2aaffff,18.927862542962703,98.93455094141764,1,10,Thailand
08a64821a2af7fff,18.927977624792895,98.93319919431781,1,10,Thailand
08a64821a2b07fff,18.92325544071143,98.93686370436933,1,10,Thailand
08a64821a2b1ffff,18.924407228380378,98.9362855208575,1,10,Thailand
08a64821a2b37fff,18.92314033479741,98.9382154216569,1,10,Thailand
08a64821a2b87fff,18.926480579779987,98.93783260885773,1,10,Thailand
08a64821a2b8ffff,18.926595684447946,98.93648087608389,1,10,Thailand
08a64821a2bb7fff,18.926365465503583,98.93918433770163,2,10,Thailand
08a64821a3817fff,18.92025888610027,98.92025229856306,1,10,Thailand
08a64821a381ffff,18.92037386238957,98.91890054835247,1,10,Thailand
08a64821a38a7fff,18.92129567308259,98.92102579653253,1,10,Thailand
08a64821a399ffff,18.921180681202124,98.92237754538554,1,10,Thailand
08a64821a3d67fff,18.922102444295344,98.9245027976016,1,10,Thailand
08a64821a3d6ffff,18.922217451768063,98.9231510501099,1,10,Thailand
08a64821a4087fff,18.89664691083612,98.95151216377802,1,10,Thailand
08a64821a409ffff,18.89779888738544,98.95093409755948,1,10,Thailand
08a64821a4127fff,18.889850093288793,98.95362893037556,1,10,Thailand
08a64821a4137fff,18.890886907506527,98.95440242258428,1,10,Thailand
08a64821a4167fff,18.88904364902389,98.95015237655944,1,10,Thailand
08a64821a416ffff,18.889158824829895,98.9488008377461,1,10,Thailand
08a64821a4697fff,18.905747328295522,98.94823911534763,1,10,Thailand
08a64821a46b7fff,18.904595404456092,98.94881720882185,2,10,Thailand
08a64821a4717fff,18.900102816357876,98.9497779506656,1,10,Thailand
08a64821a4737fff,18.8989508558931,98.950356026522,1,10,Thailand
08a64821a4787fff,18.902291532633615,98.94997338131371,1,10,Thailand
08a64821a479ffff,18.90344347256838,98.94939529747722,1,10,Thailand
08a64821a47a7fff,18.90113958465297,98.95055146033127,1,10,Thailand
08a64821a4887fff,18.8885828499251,98.95555849237208,3,10,Thailand
08a64821a488ffff,18.888698064080536,98.954206969338,1,10,Thailand
08a64821a489ffff,18.889734882732444,98.95498045988786,1,10,Thailand
08a64821a48a7fff,18.88743080908572,98.95613652003686,2,10,Thailand
08a64821a48d7fff,18.88881326864897,98.95285544235688,1,10,Thailand
08a64821a48dffff,18.88892846363017,98.9515039114302,1,10,Thailand
08a64821a4917fff,18.883974638387336,98.95787057411415,2,10,Thailand
08a64821a4937fff,18.882822565431805,98.95844858250071,2,10,Thailand
08a64821a498ffff,18.886278760215497,98.95671454288218,2,10,Thailand
08a64821a49affff,18.885126703315628,98.95729256090797,2,10,Thailand
08a64821a4a87fff,18.88938914767784,98.94609774829762,1,10,Thailand
08a64821a4ab7fff,18.88927399104796,98.94744929499167,1,10,Thailand
08a64821a6247fff,18.915999133667793,98.9443877278249,1,10,Thailand
08a64821a625ffff,18.917150980570966,98.94380959263985,1,10,Thailand
08a64821a6267fff,18.914847278704944,98.94496585819147,2,10,Thailand
08a64821a634ffff,18.913695415683613,98.9455439837395,2,10,Thailand
08a64821a636ffff,18.912543544605015,98.94612210446896,1,10,Thailand
08a64821a6a47fff,18.907935979741925,98.94843453919981,1,10,Thailand
08a64821a6a5ffff,18.9090878830376,98.94785643774526,1,10,Thailand
08a64821a6a67fff,18.906784068394998,98.94901263583549,1,10,Thailand
08a64821a9927fff,18.898692496330252,98.84954941991879,1,10,Thailand
08a64821a992ffff,18.8988069583374,98.84819758705106,1,10,Thailand
08a64821a9977fff,18.898921410738456,98.84684575035294,1,10,Thailand
08a64821ac0c7fff,18.901472216039206,98.88180381028833,1,10,Thailand
08a64821ac0effff,18.90043510874659,98.88103044433464,1,10,Thailand
08a64821ac0f7fff,18.90135751293029,98.88315557140551,1,10,Thailand
08a64821ac207fff,18.89985665973622,98.87485002011123,1,10,Thailand
08a64821ac237fff,18.89974200696979,98.87620179152616,1,10,Thailand
08a64821ac387fff,18.900664474223547,98.87832691565774,1,10,Thailand
08a64821ac38ffff,18.90077914255748,98.87697514552303,1,10,Thailand
08a64821ac3b7fff,18.9005497962865,98.87967868192877,1,10,Thailand
08a64821ac59ffff,18.908272638614203,98.89262458333732,1,10,Thailand
08a64821ad29ffff,18.898578024717242,98.85090124895466,1,10,Thailand
08a64821ad42ffff,18.899621766516972,98.86461418312027,1,10,Thailand
08a64821ad447fff,18.899850896861047,98.86191057994853,1,10,Thailand
08a64821ad44ffff,18.89996544762593,98.86055877259359,1,10,Thailand
08a64821ad467fff,18.898699126456236,98.86248906117515,1,10,Thailand
08a64821ad477fff,18.89973633649131,98.86326238345792,1,10,Thailand
08a64821ad667fff,18.899500805627888,98.8530263740594,1,10,Thailand
08a64821ad66ffff,18.899615292802423,98.85167454625943,1,10,Thailand
08a64821ad707fff,18.899042760873858,98.858433646887,1,10,Thailand
08a64821ad70ffff,18.899157286470288,98.8570818344389,1,10,Thailand
08a64821ad737fff,18.898928225672556,98.8597854554934,1,10,Thailand
08a64821ad757fff,18.89927180246158,98.85573001815062,1,10,Thailand
08a64821ad75ffff,18.89938630884753,98.85437819802361,1,10,Thailand
08a64821ada6ffff,18.884291566443697,98.85031122812157,2,10,Thailand
08a64821b100ffff,18.955618964342403,98.9452017488844,1,10,Thailand
08a64821b1057fff,18.955734134701395,98.94384990818048,1,10,Thailand
